Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty
867541787,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,CMD30928,CMD30928009,IB,SA24,2024,M,PC,4.837,241.85,USD,Africa,2/9/24,1/3/24,1/8/24,2/9/24,1/30/24,R01,REGULAR,25
867575703,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8537MT,TM8537MT002,BS/BF,SA24,2024,S,PC,3.71,315.35,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867568097,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM5998,TM5998001,CAVIR,AW23,2023,S,PC,7.056,529.2,USD,Africa,12/1/23,10/16/23,10/9/23,11/10/23,12/8/23,R01,REGULAR,25
867551583,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF7691WP,TF7691WP001,EB/PTGRN,SA24,2024,8,PC,8.449,50.694,USD,Africa,3/26/24,11/7/23,11/14/23,12/22/23,3/26/24,R01,REGULAR,25
867546730,Bulk,SINGLE,SING,Single,KNIT,COTTON,TECH PACK,REGULAR,Fashion UK,Reebok,MENS,SHS08784,SHS08784037,TRBLK,SS23,2023,5XL,PC,8.995,197.89,USD,SL ,5/22/23,4/7/23,4/14/23,5/15/23,6/5/23,R01,REGULAR,10
867569752,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM6978,TM6978002,TO/BD,SA24,2024,M,PC,8.246,2432.57,USD,Africa,3/1/24,12/27/23,1/4/24,3/1/24,3/1/24,R01,REGULAR,25
867539315,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Jacket Customer,Tommy Hilfiger,UNISEX,5200376A,5200376A019,878A,EA24,2024,134 CM,PC,3.115,9.345,USD,SL ,3/26/24,2/20/24,2/26/24,3/26/24,3/22/24,R01,REGULAR,20
867541582,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,CMA10140,CMA10140029,NAVVY,SS23,2023,2XL,PC,6.37,31.85,USD,Africa,7/21/23,6/6/23,5/22/23,6/15/23,7/21/23,R01,REGULAR,10
867575341,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8533GL,TM8533GL014,TR/BC,SA24,2024,3XL,PC,4.13,24.78,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867555792,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ3520,TJ3520005,MAGCA,SS23,2023,JS,PC,3.955,201.705,USD,Africa,5/12/23,1/15/23,1/22/23,4/6/23,6/9/23,R01,REGULAR,10
867550304,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF6804-WP,TF6804-WP003,CAV/DAPRL,SA24,2024,12,PC,7.161,14.322,USD,Africa,12/18/23,10/10/23,10/17/23,12/2/23,12/22/23,R01,REGULAR,25
867561600,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2443,TM2443019,DKSL,SP23,2023,XS,PC,7.518,75.18,USD,Africa,8/10/23,7/6/23,8/17/23,8/10/23,8/10/23,R01,REGULAR,0
867561000,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2403,TM2403080,CAV,SP23,2023,XS,PC,5.467,546.7,USD,Africa,8/10/23,7/6/23,8/17/23,8/10/23,8/10/23,R01,REGULAR,0
867564585,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3499PFAINS,TM3499PFAINS005,BRTWH,SS23,2023,L,PC,7.567,1135.05,USD,Africa,5/12/23,2/10/23,2/17/23,3/30/23,8/23/23,R01,REGULAR,10
867566239,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3861,TM3861094,WBDD,SS23,2023,L,PC,5.467,82.005,USD,Africa,5/12/23,2/24/23,3/3/23,5/4/23,5/12/23,R01,REGULAR,10
867544420,Bulk,PACKING,ML03,Multi 03 pack,KNIT,COTTON,TECH PACK,REGULAR,Sustainable Brand,Levis,BOYS,M3110452A,M3110452A630,1MO,SS24,2024,XL,PAC,5.523,331.38,USD,SL ,3/12/24,1/24/24,1/31/24,3/12/24,3/12/24,R01,REGULAR,36
867547294,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2402,TF2402046,LBTNA,SS23,2023,16,PC,3.696,25.872,USD,Africa,6/12/23,2/28/23,3/7/23,6/9/23,6/9/23,R01,REGULAR,10
867540489,Bulk,SINGLE,SING,Single,KNIT,COTTON,TECH PACK,REGULAR,Luxury 1,Jockey,MENS,9F25P20691,9F25P20691003,LGDKC,FA23,2023,S,PC,2.59,2849,USD,Africa,6/9/23,3/1/23,3/8/23,6/9/23,6/9/23,R01,REGULAR,48
867564594,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3499PFAINS,TM3499PFAINS014,BTGDN,SS23,2023,3XL,PC,7.567,1066.947,USD,Africa,5/12/23,2/10/23,2/17/23,3/30/23,5/12/23,R01,REGULAR,10
867547397,Bulk,SINGLE,SING,Single,WOVEN,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2403,TF2403007,CAV,SS23,2023,12,PC,5.621,1607.606,USD,Africa,5/19/23,3/28/23,4/4/23,5/11/23,6/9/23,R01,REGULAR,10
867540989,Bulk,PACKING,ML02,Multi 02 pack,KNIT,COTTON,TECH PACK,REGULAR,Luxury 1,Jockey,MENS,9F39E50641,9F39E50641003,BLCCK,FA23,2023,S,PAC,4.76,3332,USD,Africa,6/9/23,5/9/23,5/16/23,6/9/23,6/9/23,R01,REGULAR,12
867537345,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Jacket Customer,Tommy Hilfiger,UNISEX,5200120B,5200120B021,4502,EA24,2024,158 CM,PC,6.314,6.314,USD,SL ,3/26/24,3/1/24,3/5/24,3/26/24,3/22/24,R01,REGULAR,20
867549836,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF5078,TF5078003,DKDENLPBL,SS23,2023,12,PC,6.44,972.44,USD,Africa,10/10/23,8/27/23,9/4/23,10/10/23,12/8/23,R01,REGULAR,25
867545542,Bulk,SINGLE,SING,Single,WOVEN,COTTON,TECH PACK,REGULAR,Workwear,Calvin Klein,JUNIOR,QP801,QP801013,DN,FA23,2023,5,PC,5.439,1147.629,USD,SL ,5/11/23,3/13/23,3/20/23,5/9/23,5/9/23,R01,REGULAR,10
867547308,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2402,TF2402060,CC226,SP23,2023,12,PC,3.451,258.825,USD,Africa,8/14/23,7/6/23,8/17/23,8/10/23,8/10/23,R01,REGULAR,10
867553402,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF8546FCT,TF8546FCT001,CV/DKS,SA24,2024,8,PC,5.852,23.408,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867565836,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3660,TM3660004,CAV,SS23,2023,M,PC,4.088,327.04,USD,Africa,5/12/23,2/24/23,3/3/23,4/28/23,5/12/23,R01,REGULAR,10
867576295,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8541FCU,TM8541FCU007,AQR/BP,SA24,2024,3XL,PC,5.838,35.028,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867552608,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF8539DZ,TF8539DZ014,PEC/BP,SA24,2024,20,PC,4.214,12.642,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867550685,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF6978NS,TF6978NS004,TO/BD,SA24,2024,14,PC,6.825,34.125,USD,Africa,3/1/24,12/27/23,1/4/24,3/1/24,3/1/24,R01,REGULAR,25
867578396,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TU9777,TU9777001,MLTI,AW24,2024,S,PC,8.26,33.04,USD,Africa,1/19/24,12/29/23,1/5/24,1/19/24,1/19/24,R01,REGULAR,25
867563647,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3494,TM3494072,PCT,SA24,2024,4XL,PC,3.5,35,USD,Africa,3/29/24,11/28/23,12/5/23,2/2/24,3/29/24,R01,REGULAR,25
867572863,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM7264,TM7264014,CAV,SA24,2024,M,PC,5.208,151.032,USD,Africa,1/29/24,11/7/23,11/14/23,12/22/23,1/12/24,R01,REGULAR,25
867561994,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2722,TM2722029,CVPHT,SS23,2023,XL,PC,4.767,85.806,USD,Africa,5/12/23,4/10/23,4/17/23,4/20/23,6/9/23,R01,REGULAR,10
867540018,Bulk,PACKING,ML05,Multi 05 pack,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Luxury 1,Jockey,MENS,6BR1L10035,6BR1L10035009,100,SP24,2024,XXL,PAC,8.54,85.4,USD,Africa,8/25/23,7/27/23,7/22/23,8/25/23,9/8/23,R01,REGULAR,24
867560207,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2397,TM2397014,BTCG,SS23,2023,M,PC,7.931,1062.754,USD,Africa,6/7/23,2/23/23,3/2/23,6/9/23,6/9/23,R01,REGULAR,10
867576394,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8541MKD,TM8541MKD022,CV/DKS,SA24,2024,2XL,PC,5.838,274.386,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867555940,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ3575,TJ3575014,CVTRW,SS23,2023,JL,PC,5.082,228.69,USD,Africa,5/12/23,1/30/23,2/6/23,3/23/23,5/12/23,R01,REGULAR,10
867565341,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3573,TM3573003,CVTRW,SS23,2023,M,PC,6.608,13.216,USD,Africa,6/16/23,4/26/23,5/3/23,5/26/23,8/18/23,R01,REGULAR,10
867564208,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3499,TM3499195,BTGDN,AW23,2023,L,PC,7.35,367.5,USD,Africa,12/1/23,10/26/23,11/1/23,12/1/23,12/5/23,R01,REGULAR,25
867556228,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ3955,TJ3955001,RABR,SS23,2023,JL,PC,4.158,316.008,USD,Africa,5/12/23,1/15/23,1/22/23,4/6/23,6/9/23,R01,REGULAR,10
867568016,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM5959,TM5959008,LAPBLUE,AW23,2023,5XL,PC,7,35,USD,Africa,11/17/23,10/16/23,10/14/23,11/10/23,12/5/23,R01,REGULAR,25
867543323,Bulk,SINGLE,SING,Single,KNIT,COTTON,TECH PACK,REGULAR,Workwear,Calvin Klein,MENS,KS5552,KS5552007,DN,FA23,2023,XL,PC,4.025,3727.15,USD,SL ,5/8/23,3/25/23,4/1/23,5/6/23,5/9/23,R01,REGULAR,10
867545564,Bulk,SINGLE,SING,Single,WOVEN,COTTON,TECH PACK,REGULAR,Workwear,Calvin Klein,BOYS,QP801,QP801035,BK,FA23,2023,4,PC,5.439,244.755,USD,SL ,10/5/23,8/18/23,8/31/23,10/3/23,10/3/23,R01,REGULAR,10
867552825,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF8541GL,TF8541GL004,BTNG/BB,SA24,2024,14,PC,5.544,72.072,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867577787,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8550FCT,TM8550FCT016,PEC/BP,SA24,2024,4XL,PC,4.431,8.862,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867575366,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8533PNE,TM8533PNE004,IB/MB,SA24,2024,L,PC,4.13,330.4,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867561879,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2721-UB,TM2721-UB042,WHT/ATCIC,AW23,2023,L,PC,4.55,91,USD,Africa,12/1/23,10/26/23,11/1/23,12/1/23,12/5/23,R01,REGULAR,25
867536065,Bulk,PACKING,SING,Single,WOVEN,SYNTHETIC,BUSINESS TEAM,REGULAR,Clubs,Uniqlo,MENS,311H62W,311H62W001,19,AW23,2023,S,PC,7.98,159.6,USD,Africa,6/15/23,5/16/23,5/17/23,5/9/23,5/20/23,R01,REGULAR,50
867555194,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ3492CFAINS,TJ3492CFAINS003,CAV,SS23,2023,JS,PC,3.416,819.84,USD,Africa,4/28/23,2/10/23,2/17/23,3/6/23,5/12/23,R01,REGULAR,10
867566498,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3955,TM3955026,BWRRD,SS23,2023,3XL,PC,4.732,56.784,USD,Africa,5/12/23,1/15/23,1/22/23,3/30/23,6/9/23,R01,REGULAR,10
867547425,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2403,TF2403035,DKSL,SP23,2023,8,PC,5.376,591.36,USD,Africa,8/10/23,7/6/23,8/17/23,8/10/23,8/10/23,R01,REGULAR,0
867561503,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2428,TM2428003,CNCR,SA24,2024,L,PC,4.984,114.632,USD,Africa,2/9/24,1/10/24,1/17/24,2/9/24,1/30/24,R01,REGULAR,25
867560009,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ8547PNE,TJ8547PNE005,CV/DKS,SA24,2024,JXL,PC,6.993,209.79,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867563084,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3492-3,TM3492-3009,FESFU,SA24,2024,S,PC,3.822,236.964,USD,Africa,10/27/23,9/27/23,10/4/23,10/20/23,11/10/23,R01,REGULAR,25
867549640,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF4202,TF4202002,CVBR,SS23,2023,12,PC,6.321,94.815,USD,Africa,6/9/23,3/19/23,3/26/23,4/28/23,7/6/23,R01,REGULAR,10
867561987,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2722,TM2722022,CAV,SS23,2023,M,PC,4.767,138.243,USD,Africa,5/12/23,3/13/23,3/20/23,4/6/23,6/9/23,R01,REGULAR,10
867547780,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2445,TF2445008,CAV,SP23,2023,18,PC,6.524,65.24,USD,Africa,8/14/23,7/6/23,8/17/23,8/10/23,8/10/23,R01,REGULAR,10
867577966,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM9568,TM9568085,TRU RD,SA24,2024,XL,PC,6.657,991.893,USD,Africa,3/29/24,11/28/23,12/5/23,2/2/24,3/29/24,R01,REGULAR,25
867549490,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF3658,TF3658003,CAV,SS23,2023,14,PC,7.399,88.788,USD,Africa,5/12/23,2/20/23,2/27/23,4/20/23,6/9/23,R01,REGULAR,10
867562387,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2734,TM2734007,TRRED,SS23,2023,S,PC,5.145,61.74,USD,Africa,5/12/23,3/13/23,3/20/23,4/6/23,6/9/23,R01,REGULAR,10
867577252,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8546BRN,TM8546BRN004,DKS/CV,SA24,2024,L,PC,6.167,141.841,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
867541738,Bulk,SINGLE,SING,Single,WOVEN,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,CMD10924,CMD10924002,CAV,SA24,2024,S,PC,10.353,1159.536,USD,Africa,2/9/24,1/3/24,1/8/24,2/9/24,2/9/24,R01,REGULAR,25
867549953,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF5452,TF5452004,DUKGN,AW23,2023,14,PC,6.44,515.2,USD,Africa,10/27/23,9/29/23,9/4/23,10/8/23,11/10/23,R01,REGULAR,25
867573634,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM7533,TM7533005,PCT/CRNT B,SA24,2024,XS,PC,4.585,32.095,USD,Africa,3/26/24,12/19/23,12/26/23,2/16/24,3/26/24,R01,REGULAR,25
867558598,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ7492R,TJ7492R001,CAV,SA24,2024,JS,PC,6.132,478.296,USD,Africa,2/16/24,12/19/23,12/26/23,2/16/24,1/30/24,R01,REGULAR,25
867577672,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8549FCK,TM8549FCK006,TR/BC,SA24,2024,2XL,PC,3.605,39.655,USD,Africa,3/29/24,2/23/24,3/1/24,3/29/24,3/29/24,R01,REGULAR,25
