Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Order Qty,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty
867563695,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3496,TM3496014,CAV,SS23,2023,M,162,PC,4.794999999999999,776.7899999999998,USD,Africa,2023-06-06,2023-04-10,2023-04-17,2023-05-12,2023-05-12,R01,REGULAR,10
867553200,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF8544FCZ,TF8544FCZ011,PEC/BP,SA24,2024,14,10,PC,9.422,94.22,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867550319,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF6805,TF6805001,CAV/DAPRL,SA24,2024,8,2,PC,5.242999999999999,10.486,USD,Africa,2023-12-18,2023-10-10,2023-10-17,2023-12-02,2023-12-22,R01,REGULAR,25
867545746,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Fashion UK,Reebok,MENS,SBS21675,SBS21675012,GRML,SS24,2024,M,773,PC,4.172,3224.9559999999997,USD,SL ,2024-03-15,2024-01-30,2024-01-22,2024-02-23,2024-03-15,F01,FASHION,20
867570588,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM7094,TM7094058,PP/DRK FRS,SA24,2024,4XL,14,PC,4.361,61.053999999999995,USD,Africa,2024-03-29,2024-02-29,2024-03-06,2024-03-29,2024-03-29,R01,REGULAR,25
867554453,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ2403-UB,TJ2403-UB001,CAV,SP23,2023,JS,25,PC,4.879,121.975,USD,Africa,2023-08-10,2023-07-06,2023-08-17,2023-08-10,2023-08-10,R01,REGULAR,0
867554373,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ2402PFAINS,TJ2402PFAINS001,BTGDN,SS23,2023,JL,30,PC,3.486,104.58,USD,Africa,2023-05-12,2023-02-10,2023-02-17,2023-03-06,2023-05-12,R01,REGULAR,10
867542748,Bulk,SINGLE,SING,Single,KNIT,COTTON,TECH PACK,REGULAR,Workwear,Calvin Klein,WOMENS,FL44R,FL44R027,P2W,FA23,2023,2X,74,PC,4.066999999999999,300.95799999999997,USD,SL ,2023-04-20,2023-02-22,2023-03-01,2023-04-18,2023-04-18,R01,REGULAR,10
867541787,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,CMD30928,CMD30928009,IB,SA24,2024,M,50,PC,4.837,241.85,USD,Africa,2024-02-09,2024-01-03,2024-01-08,2024-02-09,2024-01-30,R01,REGULAR,25
867575703,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8537MT,TM8537MT002,BS/BF,SA24,2024,S,85,PC,3.709999999999999,315.34999999999997,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867568097,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM5998,TM5998001,CAVIR,AW23,2023,S,75,PC,7.055999999999999,529.1999999999999,USD,Africa,2023-12-01,2023-10-16,2023-10-09,2023-11-10,2023-12-08,R01,REGULAR,25
867551583,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF7691WP,TF7691WP001,EB/PTGRN,SA24,2024,8,6,PC,8.449,50.694,USD,Africa,2024-03-26,2023-11-07,2023-11-14,2023-12-22,2024-03-26,R01,REGULAR,25
867546730,Bulk,SINGLE,SING,Single,KNIT,COTTON,TECH PACK,REGULAR,Fashion UK,Reebok,MENS,SHS08784,SHS08784037,TRBLK,SS23,2023,5XL,22,PC,8.995,197.89,USD,SL ,2023-05-22,2023-04-07,2023-04-14,2023-05-15,2023-06-05,R01,REGULAR,10
867569752,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM6978,TM6978002,TO/BD,SA24,2024,M,295,PC,8.245999999999999,2432.5699999999997,USD,Africa,2024-03-01,2023-12-27,2024-01-04,2024-03-01,2024-03-01,R01,REGULAR,25
867539315,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Jacket Customer,Tommy Hilfiger,UNISEX,5200376A,5200376A019,878A,EA24,2024,134 CM,3,PC,3.115,9.345,USD,SL ,2024-03-26,2024-02-20,2024-02-26,2024-03-26,2024-03-22,R01,REGULAR,20
867541582,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,CMA10140,CMA10140029,NAVVY,SS23,2023,2XL,5,PC,6.369999999999999,31.84999999999999,USD,Africa,2023-07-21,2023-06-06,2023-05-22,2023-06-15,2023-07-21,R01,REGULAR,10
867575341,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8533GL,TM8533GL014,TR/BC,SA24,2024,3XL,6,PC,4.13,24.78,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867555792,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ3520,TJ3520005,MAGCA,SS23,2023,JS,51,PC,3.955,201.705,USD,Africa,2023-05-12,2023-01-15,2023-01-22,2023-04-06,2023-06-09,R01,REGULAR,10
867550304,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF6804-WP,TF6804-WP003,CAV/DAPRL,SA24,2024,12,2,PC,7.161,14.322,USD,Africa,2023-12-18,2023-10-10,2023-10-17,2023-12-02,2023-12-22,R01,REGULAR,25
867561600,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2443,TM2443019,DKSL,SP23,2023,XS,10,PC,7.518,75.17999999999999,USD,Africa,2023-08-10,2023-07-06,2023-08-17,2023-08-10,2023-08-10,R01,REGULAR,0
867561000,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2403,TM2403080,CAV,SP23,2023,XS,100,PC,5.467,546.6999999999999,USD,Africa,2023-08-10,2023-07-06,2023-08-17,2023-08-10,2023-08-10,R01,REGULAR,0
867564585,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3499PFAINS,TM3499PFAINS005,BRTWH,SS23,2023,L,150,PC,7.567,1135.05,USD,Africa,2023-05-12,2023-02-10,2023-02-17,2023-03-30,2023-08-23,R01,REGULAR,10
867566239,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3861,TM3861094,WBDD,SS23,2023,L,15,PC,5.467,82.005,USD,Africa,2023-05-12,2023-02-24,2023-03-03,2023-05-04,2023-05-12,R01,REGULAR,10
867544420,Bulk,PACKING,ML03,Multi 03 pack,KNIT,COTTON,TECH PACK,REGULAR,Sustainable Brand,Levis,BOYS,M3110452A,M3110452A630,1MO,SS24,2024,XL,60,PAC,5.523,331.38,USD,SL ,2024-03-12,2024-01-24,2024-01-31,2024-03-12,2024-03-12,R01,REGULAR,36
867547294,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2402,TF2402046,LBTNA,SS23,2023,16,7,PC,3.696,25.872,USD,Africa,2023-06-12,2023-02-28,2023-03-07,2023-06-09,2023-06-09,R01,REGULAR,10
867540489,Bulk,SINGLE,SING,Single,KNIT,COTTON,TECH PACK,REGULAR,Luxury 1,Jockey,MENS,9F25P20691,9F25P20691003,LGDKC,FA23,2023,S,1100,PC,2.59,2849.0,USD,Africa,2023-06-09,2023-03-01,2023-03-08,2023-06-09,2023-06-09,R01,REGULAR,48
867564594,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3499PFAINS,TM3499PFAINS014,BTGDN,SS23,2023,3XL,141,PC,7.567,1066.947,USD,Africa,2023-05-12,2023-02-10,2023-02-17,2023-03-30,2023-05-12,R01,REGULAR,10
867547397,Bulk,SINGLE,SING,Single,WOVEN,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2403,TF2403007,CAV,SS23,2023,12,286,PC,5.621,1607.6059999999998,USD,Africa,2023-05-19,2023-03-28,2023-04-04,2023-05-11,2023-06-09,R01,REGULAR,10
867540989,Bulk,PACKING,ML02,Multi 02 pack,KNIT,COTTON,TECH PACK,REGULAR,Luxury 1,Jockey,MENS,9F39E50641,9F39E50641003,BLCCK,FA23,2023,S,700,PAC,4.76,3332.0,USD,Africa,2023-06-09,2023-05-09,2023-05-16,2023-06-09,2023-06-09,R01,REGULAR,12
867537345,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Jacket Customer,Tommy Hilfiger,UNISEX,5200120B,5200120B021,4502,EA24,2024,158 CM,1,PC,6.313999999999999,6.313999999999999,USD,SL ,2024-03-26,2024-03-01,2024-03-05,2024-03-26,2024-03-22,R01,REGULAR,20
867549836,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF5078,TF5078003,DKDENLPBL,SS23,2023,12,151,PC,6.4399999999999995,972.44,USD,Africa,2023-10-10,2023-08-27,2023-09-04,2023-10-10,2023-12-08,R01,REGULAR,25
867545542,Bulk,SINGLE,SING,Single,WOVEN,COTTON,TECH PACK,REGULAR,Workwear,Calvin Klein,JUNIOR,QP801,QP801013,DN,FA23,2023,5,211,PC,5.438999999999999,1147.629,USD,SL ,2023-05-11,2023-03-13,2023-03-20,2023-05-09,2023-05-09,R01,REGULAR,10
867547308,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2402,TF2402060,CC226,SP23,2023,12,75,PC,3.4509999999999996,258.825,USD,Africa,2023-08-14,2023-07-06,2023-08-17,2023-08-10,2023-08-10,R01,REGULAR,10
867553402,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF8546FCT,TF8546FCT001,CV/DKS,SA24,2024,8,4,PC,5.851999999999999,23.408,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867565836,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3660,TM3660004,CAV,SS23,2023,M,80,PC,4.088,327.04,USD,Africa,2023-05-12,2023-02-24,2023-03-03,2023-04-28,2023-05-12,R01,REGULAR,10
867576295,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8541FCU,TM8541FCU007,AQR/BP,SA24,2024,3XL,6,PC,5.837999999999999,35.02799999999999,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867552608,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF8539DZ,TF8539DZ014,PEC/BP,SA24,2024,20,3,PC,4.2139999999999995,12.642,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867550685,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF6978NS,TF6978NS004,TO/BD,SA24,2024,14,5,PC,6.824999999999999,34.125,USD,Africa,2024-03-01,2023-12-27,2024-01-04,2024-03-01,2024-03-01,R01,REGULAR,25
867578396,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TU9777,TU9777001,MLTI,AW24,2024,S,4,PC,8.26,33.04,USD,Africa,2024-01-19,2023-12-29,2024-01-05,2024-01-19,2024-01-19,R01,REGULAR,25
867563647,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3494,TM3494072,PCT,SA24,2024,4XL,10,PC,3.5,35.0,USD,Africa,2024-03-29,2023-11-28,2023-12-05,2024-02-02,2024-03-29,R01,REGULAR,25
867572863,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM7264,TM7264014,CAV,SA24,2024,M,29,PC,5.208,151.032,USD,Africa,2024-01-29,2023-11-07,2023-11-14,2023-12-22,2024-01-12,R01,REGULAR,25
867561994,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2722,TM2722029,CVPHT,SS23,2023,XL,18,PC,4.7669999999999995,85.80599999999998,USD,Africa,2023-05-12,2023-04-10,2023-04-17,2023-04-20,2023-06-09,R01,REGULAR,10
867540018,Bulk,PACKING,ML05,Multi 05 pack,KNIT,SYNTHETIC,BUSINESS TEAM,REGULAR,Luxury 1,Jockey,MENS,6BR1L10035,6BR1L10035009,100,SP24,2024,XXL,10,PAC,8.54,85.39999999999999,USD,Africa,2023-08-25,2023-07-27,2023-07-22,2023-08-25,2023-09-08,R01,REGULAR,24
867560207,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2397,TM2397014,BTCG,SS23,2023,M,134,PC,7.930999999999999,1062.754,USD,Africa,2023-06-07,2023-02-23,2023-03-02,2023-06-09,2023-06-09,R01,REGULAR,10
867576394,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8541MKD,TM8541MKD022,CV/DKS,SA24,2024,2XL,47,PC,5.837999999999999,274.38599999999997,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867555940,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ3575,TJ3575014,CVTRW,SS23,2023,JL,45,PC,5.082,228.69,USD,Africa,2023-05-12,2023-01-30,2023-02-06,2023-03-23,2023-05-12,R01,REGULAR,10
867565341,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3573,TM3573003,CVTRW,SS23,2023,M,2,PC,6.608,13.216,USD,Africa,2023-06-16,2023-04-26,2023-05-03,2023-05-26,2023-08-18,R01,REGULAR,10
867564208,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3499,TM3499195,BTGDN,AW23,2023,L,50,PC,7.35,367.5,USD,Africa,2023-12-01,2023-10-26,2023-11-01,2023-12-01,2023-12-05,R01,REGULAR,25
867556228,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ3955,TJ3955001,RABR,SS23,2023,JL,76,PC,4.158,316.00800000000004,USD,Africa,2023-05-12,2023-01-15,2023-01-22,2023-04-06,2023-06-09,R01,REGULAR,10
867568016,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM5959,TM5959008,LAPBLUE,AW23,2023,5XL,5,PC,7.0,35.0,USD,Africa,2023-11-17,2023-10-16,2023-10-14,2023-11-10,2023-12-05,R01,REGULAR,25
867543323,Bulk,SINGLE,SING,Single,KNIT,COTTON,TECH PACK,REGULAR,Workwear,Calvin Klein,MENS,KS5552,KS5552007,DN,FA23,2023,XL,926,PC,4.0249999999999995,3727.15,USD,SL ,2023-05-08,2023-03-25,2023-04-01,2023-05-06,2023-05-09,R01,REGULAR,10
867545564,Bulk,SINGLE,SING,Single,WOVEN,COTTON,TECH PACK,REGULAR,Workwear,Calvin Klein,BOYS,QP801,QP801035,BK,FA23,2023,4,45,PC,5.438999999999999,244.75499999999997,USD,SL ,2023-10-05,2023-08-18,2023-08-31,2023-10-03,2023-10-03,R01,REGULAR,10
867552825,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF8541GL,TF8541GL004,BTNG/BB,SA24,2024,14,13,PC,5.544,72.07199999999999,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867577787,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8550FCT,TM8550FCT016,PEC/BP,SA24,2024,4XL,2,PC,4.431,8.862,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867575366,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8533PNE,TM8533PNE004,IB/MB,SA24,2024,L,80,PC,4.13,330.4,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867561879,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2721-UB,TM2721-UB042,WHT/ATCIC,AW23,2023,L,20,PC,4.55,91.0,USD,Africa,2023-12-01,2023-10-26,2023-11-01,2023-12-01,2023-12-05,R01,REGULAR,25
867536065,Bulk,PACKING,SING,Single,WOVEN,SYNTHETIC,BUSINESS TEAM,REGULAR,Clubs,Uniqlo,MENS,311H62W,311H62W001,019,AW23,2023,S,20,PC,7.98,159.6,USD,Africa,2023-06-15,2023-05-16,2023-05-17,2023-05-09,2023-05-20,R01,REGULAR,50
867555194,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ3492CFAINS,TJ3492CFAINS003,CAV,SS23,2023,JS,240,PC,3.416,819.84,USD,Africa,2023-04-28,2023-02-10,2023-02-17,2023-03-06,2023-05-12,R01,REGULAR,10
867566498,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3955,TM3955026,BWRRD,SS23,2023,3XL,12,PC,4.731999999999999,56.78399999999999,USD,Africa,2023-05-12,2023-01-15,2023-01-22,2023-03-30,2023-06-09,R01,REGULAR,10
867547425,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2403,TF2403035,DKSL,SP23,2023,8,110,PC,5.3759999999999994,591.3599999999999,USD,Africa,2023-08-10,2023-07-06,2023-08-17,2023-08-10,2023-08-10,R01,REGULAR,0
867561503,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2428,TM2428003,CNCR,SA24,2024,L,23,PC,4.984,114.632,USD,Africa,2024-02-09,2024-01-10,2024-01-17,2024-02-09,2024-01-30,R01,REGULAR,25
867560009,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,JUNIOR,TJ8547PNE,TJ8547PNE005,CV/DKS,SA24,2024,JXL,30,PC,6.992999999999999,209.79,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
867563084,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM3492-3,TM3492-3009,FESFU,SA24,2024,S,62,PC,3.822,236.96399999999997,USD,Africa,2023-10-27,2023-09-27,2023-10-04,2023-10-20,2023-11-10,R01,REGULAR,25
867549640,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF4202,TF4202002,CVBR,SS23,2023,12,15,PC,6.320999999999999,94.81499999999998,USD,Africa,2023-06-09,2023-03-19,2023-03-26,2023-04-28,2023-07-06,R01,REGULAR,10
867561987,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2722,TM2722022,CAV,SS23,2023,M,29,PC,4.7669999999999995,138.243,USD,Africa,2023-05-12,2023-03-13,2023-03-20,2023-04-06,2023-06-09,R01,REGULAR,10
867547780,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF2445,TF2445008,CAV,SP23,2023,18,10,PC,6.524,65.24,USD,Africa,2023-08-14,2023-07-06,2023-08-17,2023-08-10,2023-08-10,R01,REGULAR,10
867577966,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM9568,TM9568085,TRU RD,SA24,2024,XL,149,PC,6.656999999999999,991.893,USD,Africa,2024-03-29,2023-11-28,2023-12-05,2024-02-02,2024-03-29,R01,REGULAR,25
867549490,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,WOMENS,TF3658,TF3658003,CAV,SS23,2023,14,12,PC,7.399,88.788,USD,Africa,2023-05-12,2023-02-20,2023-02-27,2023-04-20,2023-06-09,R01,REGULAR,10
867562387,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM2734,TM2734007,TRRED,SS23,2023,S,12,PC,5.145,61.739999999999995,USD,Africa,2023-05-12,2023-03-13,2023-03-20,2023-04-06,2023-06-09,R01,REGULAR,10
867577252,Bulk,SINGLE,SING,Single,KNIT,SYNTHETIC,TECH PACK,REGULAR,Sportswear 1,Nike,MENS,TM8546BRN,TM8546BRN004,DKS/CV,SA24,2024,L,23,PC,6.167,141.841,USD,Africa,2024-03-29,2024-02-23,2024-03-01,2024-03-29,2024-03-29,R01,REGULAR,25
